Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population (in 100K), thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
71,2010,0,73.0,0,11.36,2267.252192,94.0,0,59.2,0,96.0,7.68,99.0,0.1,14965.361,0.57,0.9,0.9,0.884,13.7
130,2003,1,715.0,26,4.06,0.0,7.0,998,26.7,41,7.0,6.52,68.0,36.7,453.3511552,126.34,9.8,9.9,0.418,9.5
31,2011,1,98.0,1,3.41,2429.854745,84.0,0,56.5,1,82.0,9.73,85.0,0.1,9186.59639,0.46,1.8,1.7,0.752,13.4
7,2011,0,73.0,0,12.04,8272.306757,89.0,68,55.7,0,89.0,1.94,89.0,0.1,51126.74139,83.92,1.7,2.0,0.88,15.7
80,2004,1,284.0,2,1.75,73.24150483,98.0,0,41.3,2,99.0,5.99,99.0,0.1,797.8377432,24.97,2.3,2.4,0.621,11.2
80,2000,1,274.0,2,2.79,56.431387,93.0,925,38.5,3,94.0,4.92,94.0,0.1,474.2133361,23.97,2.6,2.6,0.582,8.9
99,2009,0,158.0,2,10.4,14.96373588,95.0,8,56.3,3,95.0,5.56,95.0,0.1,822.18329,23.67,3.0,3.3,0.795,15.4
83,2011,1,47.0,66,0.94,40.80617976,76.0,177,2.9,94,73.0,6.23,76.0,9.6,526.5313517,2.49,3.7,3.6,0.397,9.5
16,2006,1,491.0,2,6.45,76.31867911,93.0,6,33.2,3,96.0,4.93,96.0,14.4,5374.554867,18.84,9.6,9.4,0.61,11.9
10,2012,1,194.0,0,16.35,91.70962117,97.0,10,6.5,1,98.0,5.1,98.0,0.1,694.243915,94.64,2.0,2.1,0.793,15.6
126,2014,1,117.0,0,6.03,463.6397821,95.0,0,63.4,0,95.0,8.58,95.0,0.1,16737.89827,34.2,1.5,1.4,0.791,15.5
54,2008,1,159.0,4,3.14,231.9112915,92.0,0,45.1,5,93.0,8.4,93.0,0.6,1751.595857,78.73,2.3,2.3,0.597,11.1
7,2014,0,66.0,0,12.32,8350.193523,98.0,117,57.1,0,98.0,11.21,98.0,0.1,51322.63997,85.42,1.8,2.0,0.892,15.9
35,2003,1,22.0,7,6.32,293.0196601,79.0,0,46.1,8,65.0,5.53,79.0,2.3,2372.628827,8.97,3.6,3.5,0.665,12.4
35,2010,1,166.0,6,6.02,664.5585242,83.0,0,53.6,8,85.0,4.6,88.0,0.9,5451.6696,98.98,3.3,3.3,0.697,12.9
31,2000,1,98.0,1,4.34,94.17819458,89.0,0,45.4,1,8.0,7.12,88.0,0.1,388.363689,39.25,2.4,2.3,0.702,11.6
31,2002,1,99.0,1,4.17,112.9493745,94.0,0,47.3,1,94.0,8.23,94.0,0.1,462.14965,0.46,2.2,2.2,0.712,11.9
42,2014,1,19.0,0,0.01,50.539484,99.0,0,61.9,0,99.0,4.49,99.0,0.1,546.3728,0.89,4.0,3.7,0.727,15.2
62,2009,1,118.0,4,0.59,668.7447334,98.0,0,6.9,4,98.0,9.54,98.0,0.1,3492.1396,68.21,3.8,3.8,0.742,13.6
74,2001,1,144.0,4,0.53,210.2417002,95.0,2198,27.0,5,95.0,3.4,96.0,0.1,3915.11546,23.7,9.7,9.4,0.725,11.9
18,2004,0,157.0,1,10.96,384.1473028,94.0,0,59.1,1,94.0,7.9,95.0,0.1,3381.57837,7.72,2.3,2.3,0.738,13.3
62,2007,1,12.0,4,0.6,373.2628643,98.0,41,59.3,4,98.0,8.35,98.0,0.1,2762.86354,61.93,3.8,3.8,0.736,13.6
108,2003,1,215.0,0,1.18,16.83170578,79.0,0,4.4,0,84.0,6.0,84.0,0.1,744.7657423,4.47,1.3,1.3,0.453,8.0
