size,total_sqft,bath,balcony,loc
3,1757.0,3.0,3.0,190
4,3537.0,5.0,3.0,231
1,635.0,1.0,1.0,77
3,1651.0,3.0,3.0,215
3,1760.0,2.0,2.0,94
2,957.0,2.0,1.0,163
2,1200.0,2.0,2.0,163
2,1278.0,2.0,2.0,200
2,1245.0,2.0,3.0,92
2,1157.0,2.0,1.0,98
3,1850.0,3.0,2.0,200
2,1305.0,2.0,1.0,200
2,1090.0,2.0,1.0,190
3,1920.0,3.0,2.0,94
2,1306.0,2.0,1.0,190
4,11890.0,4.0,3.0,231
2,1128.0,2.0,1.0,77
3,1847.0,3.0,2.0,215
2,1183.0,2.0,1.0,215
2,1300.0,2.0,2.0,78
2,1194.0,2.0,2.0,92
2,1349.0,2.0,1.0,94
3,1500.0,3.0,1.0,222
2,945.0,2.0,1.0,190
1,589.0,1.0,1.0,77
2,1125.0,2.0,1.0,222
2,1125.0,2.0,1.0,222
2,1031.0,2.0,1.0,78
3,1279.0,2.0,1.0,190
3,1500.0,2.0,1.0,77
3,1800.0,3.0,3.0,78
2,1140.0,2.0,1.0,77
3,1200.0,3.0,2.0,231
4,2155.0,3.0,3.0,231
2,1300.0,2.0,1.0,92
3,1290.0,2.0,2.0,222
3,1935.0,4.0,2.0,215
2,1000.0,2.0,0.0,190
4,2435.0,4.0,3.0,77
3,1390.0,2.0,2.0,222
3,1330.0,2.0,1.0,222
4,2093.0,4.0,2.0,77
2,1128.0,2.0,1.0,190
2,1194.0,2.0,2.0,92
2,1030.0,2.0,1.0,190
4,2375.0,4.0,2.0,94
3,1586.0,3.0,3.0,98
4,2790.0,5.0,3.0,94
2,1194.0,2.0,2.0,92
3,3010.0,3.0,2.0,231
3,1800.0,4.0,1.0,215
2,1065.0,2.0,1.0,78
2,1160.0,2.0,2.0,222
3,1374.0,2.0,1.0,77
3,1550.0,3.0,3.0,200
1,905.0,1.0,1.0,231
2,1025.0,2.0,1.0,222
4,2000.0,4.0,0.0,77
2,1350.0,2.0,2.0,163
2,1341.0,2.0,1.0,98
1,662.0,1.0,1.0,215
3,1525.0,2.0,2.0,200
2,1233.0,2.0,2.0,200
3,1390.0,2.0,2.0,222
2,1225.0,2.0,1.0,92
4,3075.0,2.0,3.0,231
3,2225.0,2.0,1.0,231
3,2025.0,4.0,2.0,231
2,1020.0,2.0,2.0,78
2,1216.0,2.0,1.0,231
3,1411.0,3.0,1.0,215
2,1208.0,2.0,2.0,163
1,760.0,1.0,2.0,215
2,1133.0,2.0,1.0,190
2,1165.0,2.0,1.0,98
3,1570.0,3.0,3.0,231
3,1710.0,3.0,2.0,163
3,1881.0,3.0,2.0,200
3,1697.0,3.0,2.0,215
2,1000.0,2.0,1.0,78
2,1152.0,2.0,1.0,77
3,1810.0,3.0,2.0,92
3,1778.0,3.0,2.0,231
3,1626.0,3.0,3.0,231
2,1115.0,2.0,1.0,200
3,2600.0,3.0,2.0,200
3,1660.0,3.0,1.0,231
3,1500.0,3.0,1.0,231
3,1500.0,3.0,1.0,231
3,2127.0,3.0,2.0,215
2,1232.0,2.0,1.0,98
2,1265.0,2.0,0.0,77
2,1196.0,2.0,2.0,190
3,1575.0,3.0,1.0,77
3,1936.0,3.0,1.0,98
4,2425.0,5.0,1.0,200
3,1875.0,3.0,2.0,92
2,1120.0,2.0,2.0,190
3,1652.0,3.0,2.0,77
3,2225.0,3.0,3.0,231
3,1440.0,2.0,3.0,222
3,1640.0,3.0,1.0,190
2,1200.0,2.0,2.0,92
2,1346.0,2.0,1.0,200
3,2060.0,3.0,1.0,98
2,1265.0,2.0,1.0,215
2,1280.0,2.0,1.0,200
2,1003.0,2.0,1.0,78
2,1140.0,2.0,2.0,190
2,1419.0,2.0,1.0,190
1,600.0,1.0,1.0,190
2,1295.0,2.0,2.0,190
3,1500.0,2.0,1.0,77
3,1691.0,3.0,2.0,200
3,1891.0,3.0,1.0,98
3,3450.0,4.0,2.0,231
2,1173.0,2.0,1.0,231
1,780.0,1.0,1.0,163
3,1768.0,3.0,2.0,231
3,1455.0,2.0,1.0,200
3,1930.0,4.0,2.0,215
3,1900.0,3.0,3.0,163
2,1156.0,2.0,2.0,163
3,1300.0,2.0,1.0,222
4,1948.0,4.0,2.0,215
2,1144.0,2.0,2.0,190
3,2144.0,3.0,2.0,215
3,1320.0,2.0,2.0,222
2,770.0,1.0,1.0,77
3,1252.0,2.0,3.0,78
5,4144.0,5.0,1.0,231
3,1790.0,3.0,3.0,78
4,4827.0,4.0,3.0,231
2,1267.0,2.0,1.0,190
2,1459.0,2.0,1.0,231
2,1028.0,2.0,1.0,200
2,1303.0,2.0,2.0,190
2,1341.0,2.0,1.0,98
2,1128.0,2.0,2.0,190
3,2280.0,4.0,2.0,231
1,693.0,1.0,1.0,215
2,1020.0,2.0,1.0,78
3,1275.0,2.0,3.0,231
2,1243.0,2.0,2.0,92
2,1202.0,2.0,1.0,92
3,1111.0,3.0,1.0,77
2,1355.0,2.0,1.0,77
3,1650.0,3.0,2.0,77
6,3500.0,5.0,0.0,215
3,1831.0,3.0,1.0,98
4,2268.0,3.0,0.0,231
2,1200.0,2.0,2.0,163
3,2497.0,3.0,2.0,200
2,1151.0,2.0,1.0,190
3,2100.0,3.0,1.0,200
2,1050.0,2.0,1.0,200
2,1262.0,2.0,2.0,200
4,2790.0,5.0,3.0,94
2,1025.0,2.0,1.0,77
3,1751.0,3.0,3.0,190
3,2650.0,4.0,3.0,94
2,1140.0,2.0,1.0,78
3,1763.25,3.0,3.0,200
4,2483.0,5.0,2.0,94
3,1520.0,2.0,2.0,92
3,1635.0,2.0,2.0,231
2,1040.0,2.0,1.0,94
3,1987.0,4.0,2.0,94
2,1165.0,2.0,1.0,78
2,1050.0,2.0,1.0,222
2,1480.0,2.0,2.0,98
3,1910.0,3.0,2.0,231
3,1904.0,3.0,2.0,98
2,812.0,2.0,2.0,94
3,1760.0,3.0,2.0,231
3,1200.0,3.0,2.0,200
3,1755.0,3.0,3.0,231
4,2900.0,4.0,2.0,200
3,3520.0,5.0,2.0,94
4,2830.0,4.0,3.0,231
4,2470.0,4.0,2.0,94
2,1000.0,2.0,2.0,92
3,1500.0,2.0,1.0,77
3,1595.0,3.0,2.0,163
2,1215.0,2.0,2.0,163
2,1250.0,2.0,2.0,231
3,1984.0,4.0,1.0,200
3,1655.0,3.0,2.0,231
4,1917.0,4.0,2.0,215
3,1801.0,3.0,1.0,215
3,1830.0,3.0,2.0,92
3,1710.0,3.0,2.0,92
3,2041.0,3.0,3.0,98
2,1138.0,2.0,1.0,94
2,881.0,2.0,1.0,163
3,2350.0,3.0,2.0,98
2,1295.0,2.0,2.0,190
2,1303.0,2.0,2.0,190
3,1655.0,3.0,2.0,231
3,2140.0,3.0,2.0,231
2,1107.0,2.0,1.0,222
3,1850.0,3.0,3.0,200
2,1240.0,2.0,2.0,163
2,1020.0,2.0,3.0,98
3,1720.0,3.0,3.0,231
2,973.0,2.0,1.0,98
2,1187.0,2.0,2.0,190
3,1730.0,3.0,2.0,231
4,4960.0,4.0,3.0,231
2,1128.0,2.0,1.0,77
2,1350.0,2.0,1.0,163
2,1221.0,2.0,2.0,77
2,1216.0,2.0,1.0,231
2,1367.0,2.0,0.0,200
2,1143.0,2.0,2.0,190
4,2790.0,4.0,3.0,94
3,1573.0,3.0,1.0,215
3,2160.0,3.0,2.0,98
2,1075.0,2.0,2.0,163
2,1128.0,2.0,1.0,77
3,1936.0,3.0,1.0,98
2,1350.0,2.0,1.0,163
1,710.0,1.0,1.0,77
3,1500.0,2.0,1.0,77
3,1984.0,4.0,1.0,200
3,1330.0,2.0,1.0,222
2,1070.0,2.0,1.0,77
2,1242.0,2.0,1.0,200
1,675.0,1.0,1.0,200
3,1645.0,3.0,2.0,94
2,770.0,1.0,1.0,77
2,1027.0,2.0,1.0,92
3,1200.0,3.0,1.0,200
2,1420.0,2.0,1.0,94
2,1232.0,2.0,1.0,98
3,1500.0,2.0,1.0,77
1,663.0,1.0,1.0,215
3,1937.0,3.0,2.0,163
2,1232.0,2.0,0.0,98
4,4144.0,4.0,3.0,231
2,1196.0,2.0,2.0,190
2,1129.0,2.0,1.0,200
3,1350.0,3.0,2.0,77
4,2425.0,5.0,1.0,200
4,3262.0,4.0,2.0,231
2,1070.0,2.0,1.0,77
3,1580.0,2.0,2.0,190
4,2790.0,4.0,3.0,94
2,1070.0,2.0,1.0,77
2,1303.0,2.0,1.0,190
4,2805.0,5.0,3.0,92
2,1200.0,2.0,1.0,78
2,1160.0,2.0,1.0,190
2,1125.0,2.0,1.0,78
2,1320.0,2.0,1.0,94
3,1880.0,3.0,3.0,215
2,940.0,2.0,1.0,77
3,1336.0,2.0,3.0,78
3,1700.0,3.0,2.0,163
2,1309.0,2.0,1.0,92
3,2365.0,4.0,2.0,98
3,1600.0,3.0,2.0,231
2,1031.0,2.0,1.0,78
2,1150.0,2.0,2.0,231
4,4003.0,6.0,3.0,231
2,1098.0,2.0,1.0,215
3,1330.0,2.0,1.0,222
3,1730.0,3.0,3.0,163
2,1216.0,2.0,1.0,231
3,1862.0,3.0,2.0,231
2,1128.0,2.0,1.0,77
2,1225.0,2.0,1.0,92
2,1000.0,2.0,1.0,78
2,1314.0,2.0,1.0,231
4,2830.0,5.0,3.0,231
2,1232.0,2.0,2.0,98
3,1691.0,3.0,3.0,200
3,1270.0,2.0,2.0,231
2,985.0,2.0,2.0,94
3,2289.0,3.0,2.0,200
2,1162.0,2.0,1.0,94
3,1700.0,3.0,2.0,77
2,1066.0,2.0,1.0,98
2,1185.0,2.0,1.0,190
4,4235.0,4.0,2.0,94
