Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population (in 100K), thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
10,2011,1,232.0,0,17.31,846.9113071,98.0,50,59.9,1,98.0,4.92,98.0,0.1,6519.71753,94.73,2.0,2.1,0.787,15.5
83,2006,1,434.0,78,1.2,58.59644487,75.0,183,18.9,113,73.0,6.51,78.0,16.3,385.7567141,215.47,3.8,3.7,0.353,7.9
10,2008,1,224.0,1,14.67,501.8056141,98.0,0,58.2,1,98.0,5.95,97.0,0.1,6376.183153,95.28,2.1,2.3,0.755,15.1
130,2014,1,371.0,23,6.5,10.82259524,91.0,0,31.3,34,92.0,6.44,91.0,6.3,127.47462,154.12,5.9,5.7,0.498,10.3
121,2012,1,13.0,3,1.3,585.8776761,97.0,48,58.3,3,97.0,7.18,97.0,0.1,4137.55421,18.87,6.4,6.3,0.717,14.6
130,2000,1,665.0,24,1.68,0.0,79.0,1483,25.5,39,78.0,7.1,78.0,43.5,547.3588785,122.22,11.0,11.2,0.434,9.8
63,2002,1,276.0,8,5.99,145.1022528,95.0,18,44.8,9,95.0,3.61,95.0,0.1,1658.31146,148.59,2.6,2.6,0.7,12.7
42,2000,1,221.0,0,2.05,31.25834616,98.0,0,5.2,0,91.0,3.87,9.0,0.1,276.1338,8.11,4.3,4.0,0.681,13.1
127,2009,1,183.0,21,2.56,92.81479759,98.0,0,4.0,24,99.0,6.31,98.0,0.2,1213.265328,2.78,3.1,3.1,0.651,11.8
61,2012,1,138.0,1,3.65,37.17108782,96.0,0,52.0,1,96.0,5.66,96.0,0.5,521.33363,2.85,1.8,1.7,0.725,12.8
74,2001,1,144.0,4,0.53,210.2417002,95.0,2198,27.0,5,95.0,3.4,96.0,0.1,3915.11546,23.7,9.7,9.4,0.725,11.9
94,2011,1,15.0,3,5.79,472.1932825,89.0,0,47.1,3,84.0,9.42,89.0,0.1,3988.11894,62.94,2.1,2.0,0.675,12.3
67,2009,1,95.0,1,1.62,8.140373615,81.0,22,63.0,1,75.0,7.42,81.0,0.1,84.268878,41.83,4.7,4.7,0.746,13.2
14,2014,1,216.0,0,0.01,209.3921344,99.0,0,23.6,1,98.0,3.57,99.0,0.5,2522.7968,7.76,15.7,16.2,0.596,12.5
8,2014,1,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,7891.299776,9.54,2.8,2.9,0.752,12.2
31,2003,1,1.0,1,4.04,1070.268999,86.0,1,48.3,1,88.0,8.45,88.0,0.1,4167.71417,41.26,2.2,2.1,0.715,12.1
83,2014,1,375.0,61,0.01,54.91159475,79.0,9,22.2,84,79.0,6.98,79.0,4.1,623.2871141,272.12,3.6,3.5,0.409,9.1
112,2007,1,51.0,3,5.55,43.3664999,92.0,0,28.5,4,88.0,7.5,87.0,40.7,347.48798,11.38,6.5,6.7,0.508,10.5
92,2004,1,123.0,1,5.69,527.60848,95.0,0,49.5,2,92.0,8.9,95.0,0.2,4591.892776,32.7,2.2,2.1,0.733,12.8
63,2001,1,284.0,8,5.75,12.60883976,95.0,94,44.4,10,95.0,3.47,95.0,0.1,149.926751,148.58,2.6,2.7,0.685,12.3
78,2003,1,174.0,0,4.08,407.779262,97.0,777,26.9,0,99.0,4.15,99.0,0.1,4623.347642,1.21,7.9,7.8,0.687,12.6
94,2006,1,161.0,3,5.61,26.18072382,92.0,0,43.5,4,98.0,6.43,98.0,0.2,189.71539,58.83,2.2,2.2,0.648,12.1
99,2007,0,154.0,3,10.6,919.1673438,99.0,353,55.0,3,96.0,5.21,96.0,0.1,8214.185378,28.83,3.2,3.6,0.766,14.1
72,2002,1,271.0,41,0.9,47.5262138,51.0,10795,14.7,63,61.0,5.29,62.0,0.7,262.2859481,167.65,8.5,8.4,0.462,8.3
54,2013,1,15.0,4,3.11,311.7553193,97.0,0,49.3,4,97.0,9.15,97.0,0.4,2136.77395,86.58,2.2,2.1,0.614,11.6
20,2004,1,378.0,24,5.72,11.22655347,83.0,2,13.8,38,76.0,7.1,83.0,4.8,127.4296648,71.82,8.4,8.4,0.279,5.2
31,2014,1,96.0,1,3.45,384.5129138,91.0,1,59.5,1,91.0,9.31,91.0,0.1,1647.44179,47.58,1.7,1.7,0.768,13.9
76,2009,0,63.0,0,7.38,335.5180568,86.0,1,67.1,0,73.0,8.33,73.0,0.1,2675.58259,4.12,0.8,0.7,0.815,14.4
75,2013,1,275.0,53,0.01,36.86104319,69.0,221,22.5,86,7.0,6.58,69.0,1.6,777.659139,164.78,8.1,7.9,0.421,8.0
66,2001,0,228.0,0,6.68,332.2751709,96.0,1,55.7,0,97.0,6.17,97.0,0.1,3572.8513,2.34,2.8,2.8,0.728,14.2
