size,total_sqft,bath,balcony,loc
2,1028.0,2.0,1.0,200
2,1140.0,2.0,1.0,78
3,1757.0,3.0,3.0,190
3,1693.0,3.0,1.0,190
3,1790.0,3.0,3.0,78
2,1243.0,2.0,1.0,92
2,1225.0,2.0,1.0,92
2,1100.0,2.0,1.0,190
2,1165.0,2.0,1.0,78
3,2100.0,3.0,2.0,200
3,1360.0,2.0,1.0,77
2,1194.0,2.0,2.0,92
2,1216.0,2.0,1.0,231
2,1221.0,2.0,2.0,77
2,1196.0,2.0,2.0,190
3,1810.0,3.0,2.0,92
2,1162.0,2.0,0.0,190
3,1755.0,3.0,3.0,231
3,1691.0,3.0,2.0,200
2,1140.0,2.0,2.0,92
2,1323.0,2.0,2.0,200
3,1639.0,3.0,2.0,231
2,1185.0,2.0,2.0,190
3,2140.0,3.0,2.0,200
2,1070.0,2.0,1.0,77
2,1128.0,2.0,1.0,77
1,630.0,1.0,1.0,77
2,1250.0,2.0,1.0,77
2,1000.0,2.0,1.0,78
3,1500.0,3.0,2.0,200
2,1140.0,2.0,1.0,77
3,1435.0,3.0,2.0,200
1,435.0,1.0,1.0,77
3,1655.0,3.0,2.0,231
2,1133.0,2.0,1.0,190
1,877.0,1.0,1.0,231
2,1280.0,2.0,1.0,200
2,1165.0,2.0,1.0,190
4,2093.0,4.0,2.0,77
3,1431.0,3.0,2.0,231
2,1141.0,2.0,2.0,190
2,865.0,2.0,0.0,77
3,1525.0,2.0,2.0,200
3,1940.0,4.0,3.0,78
2,1173.0,2.0,1.0,231
1,418.0,1.0,1.0,77
2,1108.0,2.0,1.0,77
2,1255.0,2.0,1.0,200
2,1026.0,2.0,2.0,200
3,3450.0,4.0,2.0,231
3,1685.0,3.0,1.0,200
2,1120.0,2.0,2.0,190
2,1140.0,2.0,2.0,92
4,2268.0,3.0,2.0,231
3,1626.0,3.0,3.0,231
1,516.0,1.0,1.0,231
2,1020.0,2.0,1.0,78
2,1243.0,2.0,2.0,92
3,1418.0,3.0,2.0,78
2,1135.0,2.0,2.0,78
1,750.0,1.0,1.0,77
3,1655.0,3.0,1.0,231
2,1311.0,2.0,1.0,200
2,1356.0,2.0,1.0,231
3,2497.0,3.0,2.0,200
2,972.0,2.0,1.0,78
2,1115.0,2.0,1.0,200
2,1112.0,2.0,1.0,200
3,1910.0,3.0,2.0,231
2,1145.0,2.0,1.0,200
2,1025.0,2.0,1.0,77
2,1263.0,2.0,1.0,200
3,1615.0,3.0,2.0,77
3,2210.0,3.0,2.0,231
1,1090.0,2.0,1.0,77
2,1056.0,2.0,1.0,92
2,1355.0,2.0,1.0,77
2,1386.0,2.0,1.0,77
3,1976.0,3.0,2.0,92
1,589.0,1.0,1.0,77
2,1060.0,2.0,1.0,77
4,3075.0,2.0,3.0,231
3,1639.0,3.0,2.0,231
2,1290.0,2.0,0.0,231
3,1374.0,2.0,1.0,77
4,4003.0,6.0,3.0,231
2,1303.0,2.0,2.0,190
2,1306.0,2.0,2.0,190
3,1730.0,3.0,2.0,231
2,1295.0,2.0,2.0,190
2,1105.0,2.0,1.0,190
2,1140.0,2.0,2.0,190
