Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,GDP,Population (in 100K),Income composition of resources,Schooling,under-five deaths 
91,2007,1,178.0,367,0.03,3.912744517,95.4327931,163.33,0.505,6.7,459
10,2008,1,224.0,1,14.67,501.8056141,6376.183153,95.28,0.755,15.1,1
71,2006,0,85.0,0,11.98,15345.4907,89739.7117,4.73,0.88,13.5,0
61,2003,1,166.0,1,3.48,155.5884677,3465.221998,27.13,0.694,11.9,1
66,2009,0,184.0,0,9.85,1137.6237,12219.37379,21.42,0.821,16.4,0
85,2014,1,242.0,2,0.01,751.3982719,5421.343953,2.38,0.632,11.7,3
44,2014,1,237.0,2,0.01,715.2816939,9692.163874,18.76,0.687,12.6,3
10,2004,1,247.0,1,12.05,42.33443901,2378.33927,9.73,0.703,14.1,1
39,2006,1,336.0,7,0.97,10.60269773,297.828588,4.67,0.405,5.3,9
42,2003,1,22.0,0,1.76,253.8196705,2835.973972,8.17,0.689,13.3,0
7,2003,0,88.0,0,12.2,504.4308735,3212.9355,81.21,0.837,14.7,0
98,2004,0,99.0,0,13.45,276.0999798,1845.5881,14.84,0.792,15.9,1
73,2009,1,491.0,36,1.16,7.915071248,42.7379657,14.71,0.415,9.9,56
14,2006,1,245.0,1,0.29,169.2023968,1335.45696,6.72,0.0,9.6,1
63,2004,1,287.0,8,6.55,33.91660183,2874.288291,15.13,0.725,13.5,9
5,2007,1,132.0,1,3.99,44.57219966,3138.8873,2.93,0.707,11.7,1
102,2001,1,175.0,0,3.43,199.4118322,1555.47451,1.76,0.645,12.0,0
16,2011,1,325.0,2,5.76,668.9562854,7645.21469,2.51,0.678,12.4,3
35,2000,1,176.0,7,6.58,44.79247812,282.4242,85.63,0.651,12.2,9
106,2002,1,186.0,0,11.15,562.3601848,8331.261997,0.84,0.712,12.1,0
91,2008,1,177.0,369,0.03,5.447133608,139.31288,163.64,0.513,7.3,460
73,2005,1,66.0,39,1.04,5.670640102,28.3673842,13.4,0.371,9.7,62
97,2009,0,136.0,2,10.7,1299.159757,11527.59323,38.15,0.818,15.1,3
115,2010,1,171.0,10,0.32,43.34099958,738.3475227,7.64,0.603,11.1,12
31,2000,1,98.0,1,4.34,94.17819458,388.363689,39.25,0.702,11.6,1
36,2006,1,144.0,8,3.52,19.13983284,335.786541,13.97,0.693,12.8,9
60,2001,0,75.0,2,9.69,3.1222302,24.819,5.7,0.828,14.9,3
88,2008,1,169.0,3,3.64,275.064434,1518.85386,5.59,0.607,11.1,3
62,2013,1,114.0,4,0.4,546.6235156,3992.86717,84.13,0.737,13.1,4
101,2002,1,415.0,31,7.82,1.9659778,196.59778,8.54,0.343,7.2,50
52,2008,1,218.0,1,7.32,493.3279293,2576.124957,7.46,0.618,10.7,1
22,2008,1,199.0,16,2.24,53.10009046,745.7877873,1.39,0.511,10.5,18
130,2014,1,371.0,23,6.5,10.82259524,127.47462,154.12,0.498,10.3,34
103,2003,1,225.0,0,6.54,86.42744056,649.342153,1.48,0.504,9.7,0
86,2003,1,22.0,38,0.2,2.79096532,253.72412,24.96,0.457,9.2,50
49,2013,1,189.0,11,1.93,582.1469583,3452.828934,155.96,0.611,10.7,13
31,2007,1,93.0,1,4.2,150.8891479,612.623418,43.69,0.734,12.8,1
77,2010,1,214.0,8,0.01,8.353074798,123.383675,3.7,0.484,7.6,12
100,2013,1,229.0,14,10.58,1529.497771,15543.67653,143.57,0.799,14.6,16
130,2003,1,715.0,26,4.06,0.0,453.3511552,126.34,0.418,9.5,41
62,2007,1,12.0,4,0.6,373.2628643,2762.86354,61.93,0.736,13.6,4
14,2010,1,228.0,1,0.28,244.0391949,2178.921383,7.28,0.0,11.4,1
81,2009,1,117.0,0,6.45,489.6818699,6698.79439,6.18,0.785,14.6,0
56,2009,1,189.0,143,0.08,125.7980678,2254.44566,239.34,0.645,11.7,174
35,2005,1,28.0,7,5.71,289.7418649,3681.5993,92.38,0.668,12.6,8
71,2003,0,92.0,0,12.61,10111.38928,65445.8853,0.45,0.865,13.6,0
1,2004,1,17.0,1,4.54,221.8428,2416.588235,3.27,0.681,10.9,1
66,2005,0,216.0,0,9.92,86.9255399,7558.7426,22.39,0.791,15.9,0
44,2013,1,255.0,2,8.86,154.8758879,9679.742995,18.17,0.678,12.5,3
70,2005,0,222.0,0,12.3,913.699529,7863.1629,33.23,0.798,16.2,0
92,2013,1,118.0,1,6.89,1694.467075,11685.97983,38.38,0.773,12.9,1
83,2014,1,375.0,61,0.01,54.91159475,623.2871141,272.12,0.409,9.1,84
130,2006,1,7.0,28,4.57,34.26216876,414.796232,131.24,0.408,9.5,45
9,2008,1,147.0,144,0.01,42.48865034,615.7775411,148.86,0.52,8.6,186
65,2002,1,217.0,0,0.49,70.75572222,826.58554,0.87,0.0,11.7,0
57,2006,1,249.0,31,0.03,75.25799773,2351.812429,276.98,0.631,10.2,38
108,2014,1,183.0,0,0.01,3.718438799,29.652622,0.58,0.512,9.6,0
61,2007,1,148.0,1,3.64,25.62349238,462.517913,27.75,0.714,12.5,1
117,2011,1,161.0,2,0.5,2.726570602,114.56179,11.32,0.607,12.5,3
88,2002,1,197.0,4,3.5,2.092343893,11.147277,51.72,0.577,10.7,5
101,2013,1,233.0,12,0.01,11.71090655,688.8768557,11.65,0.485,10.8,17
36,2010,1,134.0,7,3.95,367.9285652,4657.32361,14.93,0.703,13.1,8
30,2008,1,255.0,2,0.12,93.36788979,795.97519,6.57,0.461,10.2,2
46,2000,0,95.0,3,12.91,4238.540035,23718.7467,82.21,0.855,16.2,4
12,2003,1,21.0,0,5.67,312.7995946,3679.99523,0.27,0.684,12.2,0
106,2011,1,177.0,0,9.72,1121.475547,12189.9516,0.87,0.744,13.3,0
127,2002,1,186.0,27,1.47,24.99438738,383.3494997,25.27,0.6,11.0,32
8,2007,1,14.0,6,1.02,176.0107106,3851.437869,0.86,0.708,11.6,7
37,2010,1,191.0,2,2.36,469.3904193,3474.392445,61.65,0.662,12.9,2
130,2005,1,717.0,28,4.14,8.7174087,444.76575,1.29,0.406,9.3,43
