Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,GDP,Population (in 100K),Income composition of resources,Schooling,under-five deaths 
10,2011,1,232.0,0,17.31,846.9113071,6519.71753,94.73,0.787,15.5,1
83,2006,1,434.0,78,1.2,58.59644487,385.7567141,215.47,0.353,7.9,113
10,2008,1,224.0,1,14.67,501.8056141,6376.183153,95.28,0.755,15.1,1
130,2014,1,371.0,23,6.5,10.82259524,127.47462,154.12,0.498,10.3,34
121,2012,1,13.0,3,1.3,585.8776761,4137.55421,18.87,0.717,14.6,3
130,2000,1,665.0,24,1.68,0.0,547.3588785,122.22,0.434,9.8,39
63,2002,1,276.0,8,5.99,145.1022528,1658.31146,148.59,0.7,12.7,9
42,2000,1,221.0,0,2.05,31.25834616,276.1338,8.11,0.681,13.1,0
127,2009,1,183.0,21,2.56,92.81479759,1213.265328,2.78,0.651,11.8,24
61,2012,1,138.0,1,3.65,37.17108782,521.33363,2.85,0.725,12.8,1
74,2001,1,144.0,4,0.53,210.2417002,3915.11546,23.7,0.725,11.9,5
94,2011,1,15.0,3,5.79,472.1932825,3988.11894,62.94,0.675,12.3,3
67,2009,1,95.0,1,1.62,8.140373615,84.268878,41.83,0.746,13.2,1
14,2014,1,216.0,0,0.01,209.3921344,2522.7968,7.76,0.596,12.5,1
8,2014,1,119.0,5,0.01,306.1824313,7891.299776,9.54,0.752,12.2,6
31,2003,1,1.0,1,4.04,1070.268999,4167.71417,41.26,0.715,12.1,1
83,2014,1,375.0,61,0.01,54.91159475,623.2871141,272.12,0.409,9.1,84
112,2007,1,51.0,3,5.55,43.3664999,347.48798,11.38,0.508,10.5,4
92,2004,1,123.0,1,5.69,527.60848,4591.892776,32.7,0.733,12.8,2
63,2001,1,284.0,8,5.75,12.60883976,149.926751,148.58,0.685,12.3,10
78,2003,1,174.0,0,4.08,407.779262,4623.347642,1.21,0.687,12.6,0
94,2006,1,161.0,3,5.61,26.18072382,189.71539,58.83,0.648,12.1,4
99,2007,0,154.0,3,10.6,919.1673438,8214.185378,28.83,0.766,14.1,3
72,2002,1,271.0,41,0.9,47.5262138,262.2859481,167.65,0.462,8.3,63
54,2013,1,15.0,4,3.11,311.7553193,2136.77395,86.58,0.614,11.6,4
20,2004,1,378.0,24,5.72,11.22655347,127.4296648,71.82,0.279,5.2,38
31,2014,1,96.0,1,3.45,384.5129138,1647.44179,47.58,0.768,13.9,1
76,2009,0,63.0,0,7.38,335.5180568,2675.58259,4.12,0.815,14.4,0
75,2013,1,275.0,53,0.01,36.86104319,777.659139,164.78,0.421,8.0,86
66,2001,0,228.0,0,6.68,332.2751709,3572.8513,2.34,0.728,14.2,0
67,2010,1,94.0,1,1.58,805.3956346,8763.826274,43.37,0.752,13.3,1
18,2001,0,16.0,1,10.72,25.06262895,1764.97387,0.89,0.713,12.9,1
127,2011,1,183.0,19,2.83,140.6905284,1564.966945,2.93,0.664,12.0,22
42,2007,1,29.0,0,2.09,5.889526221,478.82327,8.35,0.698,14.2,0
75,2003,1,299.0,59,0.54,6.660451777,391.791281,1.25,0.318,5.2,106
74,2006,1,134.0,3,0.42,365.9113978,6222.982955,261.44,0.732,12.7,4
86,2007,1,194.0,29,0.2,52.22906505,393.8843518,262.15,0.486,10.0,38
63,2009,1,235.0,7,6.64,808.243302,7165.2775,1.69,0.758,14.6,8
16,2011,1,325.0,2,5.76,668.9562854,7645.21469,2.51,0.678,12.4,3
14,2006,1,245.0,1,0.29,169.2023968,1335.45696,6.72,0.0,9.6,1
101,2004,1,397.0,26,6.75,31.93566186,236.9114381,88.18,0.371,8.2,42
18,2014,0,138.0,1,12.03,153.1400362,7853.335191,72.24,0.787,14.8,1
12,2007,1,181.0,0,7.24,69.63051047,4324.876427,0.3,0.7,12.8,0
0,2006,1,295.0,84,0.03,17.17151751,272.56377,25.89,0.405,8.1,116
0,2011,1,275.0,71,0.01,7.097108703,63.537231,29.79,0.454,9.5,97
126,2008,1,119.0,1,6.76,24.73142261,962.312164,3.36,0.77,15.7,1
94,2004,1,165.0,3,6.2,20.60083027,148.527976,0.57,0.639,12.1,4
63,2005,1,294.0,8,6.94,351.8603267,3771.278957,15.15,0.737,13.9,9
5,2008,1,14.0,1,3.96,2.8888979,41.26997,0.3,0.721,12.3,1
98,2000,0,11.0,1,11.89,167.3280168,1152.39681,12.9,0.777,15.5,1
101,2002,1,415.0,31,7.82,1.9659778,196.59778,8.54,0.343,7.2,50
120,2006,1,188.0,0,6.35,103.3710689,1495.96337,1.33,0.751,12.3,0
61,2004,1,165.0,1,3.67,192.3226305,3719.97351,27.29,0.689,11.1,1
101,2007,1,295.0,20,6.78,7.409771603,44.853339,9.45,0.424,10.1,30
16,2000,1,647.0,2,5.37,250.8916484,3349.68823,1.73,0.559,11.7,4
73,2013,1,394.0,29,0.01,55.83107625,332.922339,165.77,0.459,10.7,42
126,2002,1,124.0,1,5.86,27.46880965,488.768855,33.28,0.746,14.7,1
67,2014,1,99.0,1,1.32,140.3771361,8161.4614,5.63,0.763,13.3,1
20,2012,1,312.0,22,0.01,38.73170505,265.285651,9.32,0.393,10.3,33
93,2009,1,288.0,11,0.82,20.53327531,1166.66337,69.47,0.477,9.2,14
94,2013,1,148.0,3,5.03,573.4346982,4479.95858,6.47,0.679,12.3,3
74,2005,1,135.0,3,0.46,297.5913833,5593.822995,256.59,0.734,12.9,4
75,2008,1,278.0,55,0.57,102.1413744,689.6784228,141.38,0.36,5.8,94
66,2003,0,29.0,0,8.24,478.0644911,5134.95694,22.88,0.761,15.2,0
76,2008,0,64.0,0,7.14,2655.573684,21928.767,0.49,0.813,14.6,0
78,2007,1,161.0,0,3.24,582.5143743,6574.654338,1.24,0.72,13.5,0
76,2007,0,65.0,0,7.45,2578.888314,19375.5696,0.47,0.808,14.4,0
52,2010,1,221.0,0,7.52,48.02859441,326.281212,7.47,0.618,10.2,1
61,2005,1,161.0,1,3.59,16.97511622,482.24762,27.45,0.706,12.4,1
54,2003,1,166.0,6,3.04,194.4335736,1157.3427,7.34,0.566,10.3,7
73,2008,1,525.0,36,1.27,74.34482999,372.842678,142.71,0.4,9.6,58
18,2008,0,155.0,1,10.98,107.9826127,7296.122479,74.93,0.761,13.8,1
115,2003,1,182.0,11,0.36,13.25723997,236.314438,65.77,0.553,10.1,14
33,2003,0,66.0,0,10.62,158.7087399,2293.4789,9.94,0.815,13.0,0
123,2007,1,241.0,6,2.58,0.358651421,26.371428,4.87,0.0,10.4,8
112,2003,1,6.0,3,5.65,2.819124474,22.99449,1.87,0.493,9.1,4
54,2012,1,151.0,4,3.11,363.5721644,2178.38325,8.56,0.614,11.6,4
80,2002,1,263.0,2,2.43,55.60878216,571.51883,24.44,0.599,10.1,2
88,2003,1,198.0,4,3.77,2.542436908,115.565314,5.25,0.583,11.0,5
80,2007,1,26.0,2,3.79,126.698109,1634.81431,2.59,0.661,13.0,2
16,2003,1,693.0,2,5.51,299.3671252,4163.6596,1.84,0.567,11.8,4
115,2010,1,171.0,10,0.32,43.34099958,738.3475227,7.64,0.603,11.1,12
127,2014,1,184.0,16,0.01,0.442802404,25.448414,0.38,0.69,12.1,18
14,2003,1,273.0,1,0.52,19.15664091,997.7417141,6.23,0.0,8.4,1
79,2008,1,127.0,37,5.36,159.8772264,9689.52887,113.66,0.735,12.3,43
95,2005,1,148.0,13,4.44,411.5645653,2754.7829,2.76,0.692,13.0,16
79,2000,1,129.0,55,4.99,10.22840118,672.92113,117.2,0.694,11.4,66
