size,total_sqft,bath,balcony,loc
2,1185.0,2.0,2.0,190
3,1550.0,3.0,1.0,190
2,1323.0,2.0,2.0,200
2,1243.0,2.0,2.0,92
3,1691.0,3.0,2.0,200
3,1360.0,2.0,1.0,77
3,1881.0,3.0,2.0,200
2,1240.0,2.0,1.0,92
2,1151.0,2.0,2.0,190
2,1267.0,2.0,1.0,190
3,1820.0,3.0,2.0,231
2,1128.0,2.0,1.0,77
3,1693.0,3.0,2.0,200
2,1243.0,2.0,2.0,92
2,1185.0,2.0,1.0,190
2,1270.0,2.0,1.0,231
2,1355.0,2.0,1.0,77
2,1342.0,2.0,1.0,77
1,635.0,1.0,0.0,77
2,1485.0,2.0,1.0,231
2,1243.0,2.0,2.0,92
2,1216.0,2.0,1.0,231
1,648.0,1.0,1.0,190
3,1200.0,3.0,2.0,231
2,1185.0,2.0,1.0,190
2,1194.0,2.0,2.0,92
3,1300.0,2.0,2.0,200
2,1060.0,2.0,1.0,77
2,1210.0,2.0,2.0,190
1,905.0,1.0,1.0,231
3,1787.0,3.0,2.0,200
3,1570.0,2.0,2.0,190
3,1976.0,3.0,2.0,92
2,1419.0,2.0,2.0,190
3,1563.0,3.0,2.0,77
3,1830.0,3.0,1.0,200
2,1280.0,2.0,0.0,231
2,1241.0,2.0,1.0,200
3,1500.0,2.0,1.0,77
2,1070.0,2.0,1.0,77
2,1140.0,2.0,2.0,92
2,1258.0,2.0,1.0,77
3,2017.0,2.0,2.0,92
2,1128.0,2.0,1.0,77
3,1558.0,3.0,2.0,231
3,1610.0,3.0,2.0,190
1,630.0,1.0,1.0,77
1,685.0,1.0,1.0,200
2,1225.0,2.0,1.0,92
3,2025.0,4.0,2.0,231
4,2830.0,4.0,3.0,231
3,2070.0,4.0,2.0,200
3,1111.0,3.0,1.0,77
2,1216.0,2.0,1.0,231
2,1027.0,2.0,2.0,92
2,1200.0,2.0,2.0,92
3,1457.0,2.0,2.0,231
2,1060.0,2.0,1.0,77
2,1350.0,2.0,1.0,231
3,1580.0,2.0,2.0,190
3,1599.0,3.0,2.0,77
3,1680.0,3.0,2.0,200
3,1400.0,3.0,1.0,77
3,1500.0,2.0,1.0,77
3,1660.0,3.0,1.0,231
2,1196.0,2.0,2.0,190
2,1243.0,2.0,2.0,92
2,770.0,1.0,1.0,77
2,1128.0,2.0,1.0,77
2,1303.0,2.0,1.0,190
2,1027.0,2.0,2.0,92
2,1240.0,2.0,2.0,190
2,1120.0,2.0,2.0,190
2,1128.0,2.0,1.0,77
2,1346.0,2.0,1.0,200
2,1270.0,2.0,1.0,231
4,2850.0,5.0,0.0,231
3,1485.0,2.0,2.0,190
2,1150.0,2.0,2.0,200
3,1700.0,3.0,2.0,77
2,1320.0,2.0,1.0,200
4,2882.0,5.0,1.0,231
3,1810.0,3.0,2.0,92
2,1150.0,2.0,2.0,231
3,2600.0,3.0,2.0,200
1,825.0,1.0,1.0,231
3,1600.0,3.0,1.0,200
3,1800.0,3.0,2.0,77
2,1140.0,2.0,1.0,92
2,940.0,2.0,1.0,77
3,1396.0,3.0,1.0,231
3,2210.0,3.0,2.0,231
3,1500.0,3.0,1.0,77
3,1691.0,3.0,2.0,200
2,1419.0,2.0,1.0,190
3,1984.0,4.0,1.0,200
3,3150.0,3.0,1.0,231
3,1655.0,3.0,2.0,231
3,1635.0,2.0,2.0,231
2,1140.0,2.0,1.0,190
3,1920.0,3.0,1.0,92
2,1243.0,2.0,2.0,92
