Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,GDP,Population (in 100K),Income composition of resources,Schooling,under-five deaths 
126,2010,1,118.0,0,6.21,2331.532804,11938.212,33.74,0.777,15.6,1
5,2012,1,121.0,1,3.89,274.1526986,3684.8481,28.82,0.732,12.7,1
68,2014,1,522.0,4,0.01,162.1278115,1174.839214,21.46,0.491,10.8,6
119,2002,1,155.0,0,1.51,310.8203382,1842.44421,0.99,0.679,13.5,0
54,2005,1,163.0,5,3.23,203.7134882,1311.741714,7.37,0.577,10.6,6
115,2002,1,193.0,12,0.6,10.68147485,189.3878519,64.48,0.543,9.8,15
117,2012,1,159.0,2,0.01,30.17998548,1117.77724,1.16,0.618,12.5,2
57,2011,1,144.0,32,0.17,285.119726,5854.614497,31.73,0.649,10.4,39
80,2001,1,266.0,2,2.87,61.84921903,524.145924,24.2,0.588,9.4,3
41,2010,1,261.0,162,1.34,67.73374413,341.39992,8.77,0.401,8.1,243
74,2008,1,132.0,3,0.47,438.4519214,8513.629541,27.11,0.747,12.5,4
4,2006,1,127.0,11,7.75,961.1774676,5878.76127,39.56,0.782,16.1,12
106,2013,1,172.0,0,0.01,1521.672751,15687.34795,0.9,0.762,13.5,0
78,2008,1,166.0,0,2.49,6.6489825,83.635,12.44,0.728,13.6,0
100,2007,1,282.0,16,12.19,11.02617159,911.25385,14.29,0.761,13.8,19
95,2009,1,14.0,10,4.69,570.4532468,4166.93387,0.29,0.706,13.3,13
51,2013,1,279.0,4,0.01,8.20063742,61.566347,16.81,0.415,9.1,6
24,2004,1,77.0,2,7.8,5513.329924,31979.87195,0.32,0.881,15.8,2
30,2009,1,251.0,2,0.17,56.98952474,778.5454199,6.73,0.465,10.3,2
23,2006,1,394.0,58,5.22,0.962497052,12.989164,179.0,0.456,8.2,91
32,2014,0,97.0,0,12.14,1884.098811,13467.46827,42.38,0.82,15.1,0
76,2013,0,57.0,0,8.58,374.2947283,2393.1888,4.23,0.828,14.2,0
25,2009,1,453.0,17,1.56,40.45156933,449.961839,0.44,0.345,6.4,25
87,2011,0,63.0,1,8.96,1047.370244,5354.6536,16.69,0.911,17.2,1
27,2007,1,9.0,2,7.39,209.4875875,1526.87746,164.92,0.797,14.8,2
33,2014,0,53.0,0,0.01,207.3041936,2734.88382,1.15,0.85,14.0,0
74,2007,1,133.0,3,0.43,409.9812523,7269.17114,266.26,0.736,12.3,4
16,2004,1,652.0,2,4.9,469.5823898,4896.583835,1.83,0.58,11.8,4
93,2008,1,29.0,11,0.81,103.7277727,1178.72469,67.87,0.469,8.9,14
37,2008,1,194.0,2,2.68,53.95949877,357.347674,0.61,0.659,13.4,3
6,2003,0,71.0,1,9.97,3829.550928,23465.38559,1.99,0.905,20.6,1
58,2011,0,7.0,0,11.72,6386.95437,52567.52568,45.77,0.909,18.5,0
0,2003,1,295.0,87,0.01,11.08905273,198.7285436,23.65,0.373,6.5,122
82,2014,1,96.0,18,0.43,198.7343495,3154.513484,34.32,0.64,12.1,21
42,2001,1,221.0,0,1.93,20.7119129,238.891729,8.14,0.683,13.2,0
63,2005,1,294.0,8,6.94,351.8603267,3771.278957,15.15,0.737,13.9,9
52,2005,1,238.0,1,7.35,17.46405901,198.455216,0.76,0.619,11.4,1
114,2000,1,136.0,10,1.41,81.7274712,1177.629268,16.42,0.588,10.0,12
101,2004,1,397.0,26,6.75,31.93566186,236.9114381,88.18,0.371,8.2,42
6,2011,0,63.0,1,10.3,10986.26527,62245.129,2.23,0.927,19.8,1
94,2008,1,157.0,3,6.14,34.73924576,359.992184,6.47,0.654,11.9,4
62,2007,1,12.0,4,0.6,373.2628643,2762.86354,61.93,0.736,13.6,4
111,2013,1,179.0,0,6.02,1122.972967,9484.56898,0.54,0.719,12.7,0
102,2003,1,169.0,0,4.17,24.99717134,197.29417,1.78,0.659,12.3,0
46,2010,0,76.0,2,11.2,7584.078579,41785.55691,81.78,0.907,16.7,3
47,2008,1,275.0,41,1.78,161.0106435,1224.41554,23.3,0.53,9.8,61
125,2008,1,273.0,5,9.46,456.4586664,3891.37823,4.63,0.73,14.9,6
29,2010,1,15.0,12,4.28,113.2436346,625.65544,45.92,0.695,12.8,15
