Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,GDP,Population (in 100K),Income composition of resources,Schooling,under-five deaths 
66,2000,0,218.0,0,7.13,291.0170765,3352.731296,2.37,0.716,13.7,0
63,2000,1,292.0,9,6.0,112.541157,1229.958,148.84,0.676,12.1,10
93,2006,1,299.0,11,0.64,126.6142137,854.346921,6.47,0.454,8.2,14
70,2001,0,21.0,0,10.2,42.87208671,353.147337,3.48,0.757,14.7,0
0,2005,1,291.0,85,0.02,1.388647732,25.2941299,2.58,0.396,7.9,118
71,2014,0,65.0,0,11.12,16255.16198,119172.7418,5.56,0.892,13.9,0
0,2008,1,287.0,80,0.03,25.87392536,373.3611163,27.29,0.433,8.7,110
99,2013,0,138.0,2,9.59,1230.748231,9585.266593,199.84,0.794,14.7,2
62,2010,1,117.0,4,0.51,715.9709092,3679.19275,7.18,0.739,13.2,4
35,2009,1,157.0,6,6.05,587.8828228,4952.67753,97.68,0.695,12.9,8
0,2006,1,295.0,84,0.03,17.17151751,272.56377,25.89,0.405,8.1,116
36,2001,1,158.0,9,4.13,14.5887403,193.741571,128.53,0.67,12.4,10
93,2002,1,327.0,11,0.61,110.9803062,511.665773,58.62,0.428,6.9,14
1,2006,1,99.0,1,5.31,3.3021542,35.1293,29.93,0.696,11.4,1
12,2004,1,197.0,0,6.2,325.6807462,3831.53819,0.28,0.691,12.5,0
83,2002,1,416.0,87,2.16,40.82597077,262.884551,191.4,0.311,6.2,127
1,2008,1,1.0,1,5.61,36.62206845,437.539647,29.47,0.713,12.0,1
92,2003,1,126.0,1,5.52,58.45976019,4267.13578,3.29,0.728,12.8,2
74,2013,1,128.0,3,0.53,110.6779711,1882.27842,29.77,0.779,12.9,4
1,2015,1,74.0,0,4.6,364.9752287,3954.22783,0.29,0.762,14.2,0
80,2009,1,235.0,1,4.61,134.1678932,1717.898761,26.68,0.686,13.8,2
35,2007,1,164.0,6,6.05,74.8217488,4647.31359,9.54,0.685,12.7,8
42,2004,1,218.0,0,1.63,43.99452464,3332.918533,8.18,0.691,13.4,0
42,2003,1,22.0,0,1.76,253.8196705,2835.973972,8.17,0.689,13.3,0
80,2013,1,227.0,1,0.01,241.1958645,4385.379355,2.87,0.72,14.7,1
16,2012,1,3.0,2,0.01,12.83447357,729.231453,2.89,0.687,12.5,3
12,2008,1,181.0,0,7.22,51.25232422,447.22796,0.36,0.699,12.8,0
10,2002,1,262.0,1,12.23,145.4233629,1479.383142,98.66,0.687,13.6,1
63,2014,1,22.0,5,6.29,24.44473709,1286.56511,172.89,0.789,15.0,5
16,2006,1,491.0,2,6.45,76.31867911,5374.554867,18.84,0.61,11.9,3
83,2009,1,4.0,70,1.18,39.75216936,463.852618,23.52,0.382,9.2,101
71,2013,0,68.0,0,11.02,15515.75234,113751.85,0.54,0.892,13.9,0
121,2013,1,13.0,3,1.29,594.6453102,4199.47253,11.15,0.72,14.7,3
12,2001,1,21.0,0,4.9,251.6586929,3419.275719,2.55,0.677,11.8,0
126,2012,1,118.0,0,5.77,339.7190493,1592.6819,33.97,0.784,15.5,0
80,2006,1,271.0,2,2.91,122.1206485,1334.651896,2.56,0.649,12.7,2
67,2014,1,99.0,1,1.32,140.3771361,8161.4614,5.63,0.763,13.3,1
126,2005,1,123.0,1,6.35,152.5448405,522.951116,33.26,0.753,15.5,1
71,2005,0,9.0,0,11.84,1346.246697,8289.69641,4.65,0.874,13.5,0
83,2001,1,48.0,90,2.09,37.82511936,256.4414872,185.89,0.298,5.8,132
36,2004,1,148.0,8,3.65,16.37920405,278.557892,13.6,0.682,12.7,9
63,2013,1,28.0,5,6.48,26.4072659,1389.8561,17.35,0.782,15.0,6
66,2013,0,161.0,0,10.37,150.3116884,1532.22924,2.13,0.814,15.4,0
130,2000,1,665.0,24,1.68,0.0,547.3588785,122.22,0.434,9.8,39
67,2000,1,112.0,1,2.26,404.3879434,5334.93329,32.35,0.0,14.9,1
74,2002,1,14.0,4,0.49,216.7029481,4167.364387,241.99,0.723,12.0,4
31,2011,1,98.0,1,3.41,2429.854745,9186.59639,0.46,0.752,13.4,1
80,2007,1,26.0,2,3.79,126.698109,1634.81431,2.59,0.661,13.0,2
12,2009,1,184.0,0,6.85,549.8096097,4258.788611,3.14,0.7,12.7,0
80,2005,1,274.0,2,2.75,98.68367951,998.8226671,25.26,0.637,11.8,2
99,2004,0,165.0,4,9.82,431.3250367,3552.92452,214.52,0.733,12.9,4
108,2010,1,188.0,0,1.1,29.5207994,1272.44825,0.53,0.492,9.3,0
63,2011,1,224.0,7,6.63,179.170133,11634.42422,1.66,0.766,14.4,7
18,2013,0,14.0,1,12.06,149.659879,7674.86559,72.65,0.781,14.4,1
